"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"28.000865800865803","pp","9606.ENSP00000301067 (pp) 9606.ENSP00000392028","false","pp","9606.ENSP00000301067 (pp) 9606.ENSP00000392028","0.077",,,"0.081",,,,"0.511","0.47"
"33.729531579531574","pp","9606.ENSP00000301067 (pp) 9606.ENSP00000363193","false","pp","9606.ENSP00000301067 (pp) 9606.ENSP00000363193","0.294",,,,,,,"0.716","0.615"
"16.628195488721786","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000417235","false","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000417235",,,"0.54","0.777",,,,"0.915","0.245"
"5.4099567099567105","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000370938","false","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000370938","0.061",,"0.9","0.865",,,,"0.992","0.462"
"2.0","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000292035","false","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000292035","0.183",,"0.8","0.975",,,,"0.998","0.707"
"26.540476190476195","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000355094","false","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000355094","0.11",,,"0.994",,,,"0.994",
"2.0","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000481733","false","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000481733","0.06",,"0.9","0.975",,,,"0.999","0.736"
"26.966685069316643","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000272645","false","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000272645","0.597",,,"0.888",,,,"0.959","0.168"
"8.887395937395938","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000363193","false","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000363193","0.217",,"0.9","0.994",,,,"0.999","0.667"
"2.7","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000297347","false","pp","9606.ENSP00000258648 (pp) 9606.ENSP00000297347","0.434",,"0.9","0.968",,,,"0.999","0.666"
"73.42297702297704","pp","9606.ENSP00000323588 (pp) 9606.ENSP00000392028","false","pp","9606.ENSP00000323588 (pp) 9606.ENSP00000392028","0.078",,,"0.607",,,,"0.86","0.645"
"35.74761904761905","pp","9606.ENSP00000323588 (pp) 9606.ENSP00000334122","false","pp","9606.ENSP00000323588 (pp) 9606.ENSP00000334122","0.06",,,,,,,"0.61","0.603"
"41.33422133422134","pp","9606.ENSP00000323588 (pp) 9606.ENSP00000410294","false","pp","9606.ENSP00000323588 (pp) 9606.ENSP00000410294","0.111",,,,,,,"0.512","0.474"
"77.1190476190476","pp","9606.ENSP00000323588 (pp) 9606.ENSP00000355094","false","pp","9606.ENSP00000323588 (pp) 9606.ENSP00000355094","0.081",,,"0.292",,,,"0.504","0.3"
"14.742424242424242","pp","9606.ENSP00000301019 (pp) 9606.ENSP00000441953","false","pp","9606.ENSP00000301019 (pp) 9606.ENSP00000441953","0.099",,"0.8","0.966",,,,"0.999","0.93"
"38.882683982683986","pp","9606.ENSP00000392028 (pp) 9606.ENSP00000410294","false","pp","9606.ENSP00000392028 (pp) 9606.ENSP00000410294",,,,"0.053",,,,"0.475","0.469"
"147.3652347652348","pp","9606.ENSP00000392028 (pp) 9606.ENSP00000392094","false","pp","9606.ENSP00000392028 (pp) 9606.ENSP00000392094","0.061",,,"0.095",,,,"0.446","0.401"
"225.9666666666667","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000371253","false","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000371253","0.067",,"0.114",,,,"0.057","0.422","0.347"
"179.93333333333334","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000323588","false","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000323588",,,,"0.296",,,,"0.423","0.215"
"82.0","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000440689","false","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000440689","0.058",,"0.138","0.045",,,,"0.857","0.837"
"82.0","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000426083","false","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000426083","0.186",,"0.707",,"0.001",,"0.048","0.989","0.959"
"82.0","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000306606","false","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000306606","0.147",,"0.707",,"0.001",,"0.048","0.995","0.984"
"68.30000000000001","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000379845","false","pp","9606.ENSP00000261733 (pp) 9606.ENSP00000379845","0.156",,"0.918","0.099",,,"0.055","0.945","0.209"
"2.0","pp","9606.ENSP00000221494 (pp) 9606.ENSP00000318861","false","pp","9606.ENSP00000221494 (pp) 9606.ENSP00000318861","0.134",,"0.9","0.999",,,,"0.999","0.951"
"2.0","pp","9606.ENSP00000221494 (pp) 9606.ENSP00000412566","false","pp","9606.ENSP00000221494 (pp) 9606.ENSP00000412566","0.143",,"0.9","0.986",,,,"0.999","0.282"
"45.98095238095238","pp","9606.ENSP00000221494 (pp) 9606.ENSP00000392094","false","pp","9606.ENSP00000221494 (pp) 9606.ENSP00000392094","0.166",,"0.9","0.962",,,,"0.998","0.519"
"14.742424242424242","pp","9606.ENSP00000219097 (pp) 9606.ENSP00000301019","false","pp","9606.ENSP00000219097 (pp) 9606.ENSP00000301019","0.266",,"0.8","0.292",,,,"0.997","0.982"
"2.0","pp","9606.ENSP00000219097 (pp) 9606.ENSP00000441953","false","pp","9606.ENSP00000219097 (pp) 9606.ENSP00000441953","0.113",,"0.9","0.998",,,,"0.999","0.998"
"67.25757575757575","pp","9606.ENSP00000209728 (pp) 9606.ENSP00000216122","false","pp","9606.ENSP00000209728 (pp) 9606.ENSP00000216122","0.731",,"0.5","0.973",,,,"0.999","0.923"
"2.0","pp","9606.ENSP00000209728 (pp) 9606.ENSP00000441953","false","pp","9606.ENSP00000209728 (pp) 9606.ENSP00000441953","0.1",,"0.9","0.966",,,,"0.999","0.922"
"2.0","pp","9606.ENSP00000209728 (pp) 9606.ENSP00000219097","false","pp","9606.ENSP00000209728 (pp) 9606.ENSP00000219097","0.261",,"0.9","0.928",,,,"0.999","0.989"
"14.742424242424242","pp","9606.ENSP00000209728 (pp) 9606.ENSP00000301019","false","pp","9606.ENSP00000209728 (pp) 9606.ENSP00000301019","0.88",,"0.8","0.993",,,,"0.999","0.998"
"13.483333333333336","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000272645","false","pp","9606.ENSP00000219252 (pp) 9606.ENSP00000272645","0.072",,"0.9","0.998",,,,"0.999","0.982"
