EdgeBetweenness,interaction,name,selected,shared interaction,shared name,stringdb::coexpression,stringdb::cooccurrence,stringdb::databases,stringdb::experiments,stringdb::fusion,stringdb::interspecies,stringdb::neighborhood,stringdb::score,stringdb::textmining,source,target
76.21973581973582,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000262241,false,pp,9606.ENSP00000224950 (pp) 9606.ENSP00000262241,,,,0.994,,,,0.994,,9606.ENSP00000224950,9606.ENSP00000262241
45.98095238095238,pp,9606.ENSP00000216252 (pp) 9606.ENSP00000392094,false,pp,9606.ENSP00000216252 (pp) 9606.ENSP00000392094,0.273,,0.9,0.907,,,,0.994,0.322,9606.ENSP00000216252,9606.ENSP00000392094
2.0,pp,9606.ENSP00000216252 (pp) 9606.ENSP00000221494,false,pp,9606.ENSP00000216252 (pp) 9606.ENSP00000221494,0.127,,0.9,0.998,,,,0.999,0.815,9606.ENSP00000216252,9606.ENSP00000221494
2.0,pp,9606.ENSP00000216252 (pp) 9606.ENSP00000412566,false,pp,9606.ENSP00000216252 (pp) 9606.ENSP00000412566,0.253,,0.9,0.925,,,,0.995,0.293,9606.ENSP00000216252,9606.ENSP00000412566
2.0,pp,9606.ENSP00000216252 (pp) 9606.ENSP00000318861,false,pp,9606.ENSP00000216252 (pp) 9606.ENSP00000318861,0.1,,0.9,0.996,,,,0.999,0.996,9606.ENSP00000216252,9606.ENSP00000318861
5.4099567099567105,pp,9606.ENSP00000370938 (pp) 9606.ENSP00000481733,false,pp,9606.ENSP00000370938 (pp) 9606.ENSP00000481733,,,0.9,0.879,,,,0.993,0.533,9606.ENSP00000370938,9606.ENSP00000481733
8.653383458646614,pp,9606.ENSP00000370938 (pp) 9606.ENSP00000417235,false,pp,9606.ENSP00000370938 (pp) 9606.ENSP00000417235,,,0.54,0.861,,,,0.995,0.932,9606.ENSP00000370938,9606.ENSP00000417235
28.000865800865803,pp,9606.ENSP00000301067 (pp) 9606.ENSP00000392028,false,pp,9606.ENSP00000301067 (pp) 9606.ENSP00000392028,0.077,,,0.081,,,,0.511,0.47,9606.ENSP00000301067,9606.ENSP00000392028
33.729531579531574,pp,9606.ENSP00000301067 (pp) 9606.ENSP00000363193,false,pp,9606.ENSP00000301067 (pp) 9606.ENSP00000363193,0.294,,,,,,,0.716,0.615,9606.ENSP00000301067,9606.ENSP00000363193
16.628195488721786,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000417235,false,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000417235,,,0.54,0.777,,,,0.915,0.245,9606.ENSP00000258648,9606.ENSP00000417235
5.4099567099567105,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000370938,false,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000370938,0.061,,0.9,0.865,,,,0.992,0.462,9606.ENSP00000258648,9606.ENSP00000370938
2.0,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000292035,false,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000292035,0.183,,0.8,0.975,,,,0.998,0.707,9606.ENSP00000258648,9606.ENSP00000292035
26.540476190476195,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000355094,false,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000355094,0.11,,,0.994,,,,0.994,,9606.ENSP00000258648,9606.ENSP00000355094
2.0,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000481733,false,pp,9606.ENSP00000258648 (pp) 9606.ENSP00000481733,0.06,,0.9,0.975,,,,0.999,0.736,9606.ENSP00000258648,9606.ENSP00000481733
